Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
{'hidden': [32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4541172895108637;0.0035189603446095976;0.9520519866141486;0.003943832729592573;0.6149157406872154;0.003563182566551571;0.5788191401380602;0.07124626153836593;0.05637119191251766;0.014381631677216138;0.10256219834985802;0.024923839588848955;0.516468214824462;0.03730521837394262;0.5042115892633331;0.007711412894519856;0.3587389695185367;0.014101003579979374;0.5225140885723027;0.040635098815738714;0.4611229889287336;0.007804193994278404;0.3340994694314307;0.014861066025303649;0.4611229889287336;0.007804193994278404;3.6742886304855347;0.2522909789038981
{'hidden': [32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45465356648902344;0.0019637876863731253;0.9430484256710103;0.010334451642048041;0.6135035417317881;0.0028987299034209046;0.5875410950165464;0.029907211587832338;0.06738182138358462;0.013371984253255363;0.12054173293363926;0.021812198932507534;0.521097330752785;0.015848026458752416;0.5052151235272975;0.003684433077805386;0.3670226373327137;0.010539672657082187;0.5274959481603457;0.017228919897408986;0.4630920820447501;0.004109293245533149;0.34331367247839956;0.011461490587473895;0.4630920820447501;0.004109293245533149;6.8308539390563965;0.5006171637288597
{'hidden': [32], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45476115597658523;0.0040319096822051485;0.9590686442025003;0.013669927153290785;0.6169678676347;0.006494991828396476;0.61475445725065;0.09703489983537247;0.05205595496872409;0.00643150323410351;0.09586700231325385;0.0116577727678215;0.5347578066136177;0.05048402868941583;0.5055622995856122;0.008492411413821985;0.35641743497397693;0.007995853828914809;0.542496589545256;0.05500437835825729;0.46192549388297965;0.007675619213137739;0.3313533648929575;0.007920457584105471;0.46192549388297965;0.007675619213137739;6.820198118686676;0.3955749112229849
{'hidden': [32], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45798129929831793;0.0030665506006290985;0.9465459016509661;0.006669654882335004;0.6172882253841832;0.004069918156000159;0.6336244298737557;0.04383382944351104;0.07642030574370923;0.007846732179911834;0.1363474242231807;0.013353101061398047;0.5458028645860367;0.023383409309179867;0.5114831036973376;0.006298636332068744;0.3768178248036819;0.008319757952898724;0.554271492129063;0.02543424173055968;0.4696211017451522;0.006041915094271028;0.35368424053053826;0.008578120081031582;0.4696211017451522;0.006041915094271028;6.020986616611481;0.3987991591290042
{'hidden': [32], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45608670762419995;0.005235507115514902;0.9482350647302935;0.007207935127434094;0.6159112394778543;0.0057750441845425445;0.5990203351863742;0.089174682734779;0.0675011403587488;0.019668143458920886;0.1210310866798669;0.03387345835982999;0.5275535214052871;0.04713184796007423;0.5078681025445212;0.010852079331399674;0.36847116307886063;0.019242163095980914;0.5344843025075432;0.051215502721722976;0.46551143524462263;0.011082893010188962;0.34468565716510624;0.020252492232573114;0.46551143524462263;0.011082893010188962;3.977343440055847;0.2282088664260932
{'hidden': [32], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4570659728751704;0.002650469674114088;0.9545879449479009;0.007295132804033296;0.6181512586127431;0.0037830701313267484;0.6351512407383583;0.05347571211827122;0.06514845551819597;0.006541993710660266;0.11813611615806766;0.011533090415177817;0.5461086068067644;0.02800326826742206;0.5098682002330485;0.005906763817467471;0.3681436873854054;0.007274146830441699;0.5547061110730441;0.03056056190929739;0.4670733027044189;0.005422129713804061;0.3440899723910391;0.007448061677154264;0.4670733027044189;0.005422129713804061;3.5084064602851868;0.1897513415589372
{'hidden': [64], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45558465953435007;0.0016809016060223279;0.9478434255892595;0.0019336743625912264;0.6153808278390461;0.0016189131446100356;0.6043060655038198;0.029970229719971177;0.06616230243996472;0.0077651008628503776;0.11921293859755769;0.013108772944761609;0.529945362519085;0.0157149571438826;0.5070028640146121;0.004111781994872183;0.36729688321830195;0.0073067675902866195;0.537121978421603;0.01719040617367693;0.46458518946998606;0.003928029660039443;0.3434311499618088;0.007600819382979153;0.46458518946998606;0.003928029660039443;3.927717864513397;0.36172812259962134
{'hidden': [64], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.458193171579562;0.003921960345982779;0.943501193761569;0.009751823541956963;0.6168326083522909;0.005629750799699081;0.633643668051528;0.05475744057100233;0.08021378285577116;0.005851967619014522;0.1423880564611128;0.010553900807834736;0.5459184198155451;0.02928416911884716;0.5118574883086702;0.007562458163251348;0.37961033240670183;0.007871985744260113;0.554371977796624;0.031786695740567604;0.4703239037395666;0.0072117347242416805;0.35678767984556686;0.007979145383452343;0.4703239037395666;0.0072117347242416805;3.7086238861083984;0.09964887081054047
{'hidden': [64], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45528594695438834;0.0037639225069010336;0.9351546364601631;0.013110240627597185;0.6124084683926883;0.006151389084452633;0.5959927834224623;0.06026685468722786;0.07766195468146628;0.002732931129753637;0.13735364804558492;0.005757940198981433;0.5256393651884254;0.03196995410489384;0.5064082955708147;0.007807003493045699;0.37488105821913653;0.005913878609050771;0.5324362885107393;0.034769050434236164;0.46514512969573524;0.006946111401677891;0.35202376212438646;0.0057547425202966246;0.46514512969573524;0.006946111401677891;3.610399007797241;0.14798281519158005
{'hidden': [64], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4549808875083767;0.002725047069250838;0.9530950432564536;0.009520842741938264;0.6159266069267408;0.004198754697728546;0.6056956236386677;0.0438089013304328;0.0587350066820676;0.008504534529473126;0.10688047786102067;0.014106694850379084;0.5303382555735222;0.02325427908323062;0.5059150249692606;0.00406083992381919;0.36140354239388073;0.006929028161352848;0.5375612565347341;0.025098034208097093;0.46289793378196137;0.004407082380674287;0.33692289467472775;0.00741181744172102;0.46289793378196137;0.004407082380674287;5.425548434257507;0.29345626920915635
