Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
{'hidden': [32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4481984080833153;0.0012136036274269103;0.9510153452736505;0.004134060919698093;0.6092604597267499;0.0018534538031570174;0.4627189209540461;0.025652553509051577;0.034713495338018444;0.002227460455042359;0.0645681302383766;0.003987203771850758;0.45545866451868067;0.013163634625633231;0.4928644203058345;0.002197718249526401;0.33691429498256326;0.002120681755767333;0.456169622711792;0.014385578887312761;0.4487788708796947;0.0019102720612077743;0.3107099092654305;0.0020753415418087637;0.4487788708796947;0.0019102720612077743;11.06835389137268;1.746557440908814
{'hidden': [32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45093311128093594;0.001123576689622822;0.9501799017723862;0.0028773361211467444;0.6116069925654743;0.0008036498173785854;0.5276737629840461;0.016909599463537733;0.04614446434818667;0.00531480179048486;0.08482079692797825;0.009250185450629165;0.489303437132491;0.008750118081266911;0.4981621830602865;0.0013588755070124278;0.34821389474672637;0.004673110823632243;0.4929988022572341;0.009545417683509706;0.4546653004206961;0.0018672098285630366;0.32286887152533866;0.005177128450886535;0.4546653004206961;0.0018672098285630366;20.665998816490173;2.9913865711154686
{'hidden': [32], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4495137653585965;0.0014697404230766527;0.9484937470245138;0.0024876971843093305;0.6099521448471995;0.0012783877562542172;0.49898064950822774;0.011755004309931556;0.042368570025167834;0.0033766921087608277;0.0780832278852679;0.005830605896096763;0.4742472074334121;0.00658901101899022;0.4954311585248409;0.0010934209187644047;0.3440176863662337;0.003337074037194227;0.47661852794515525;0.007037270881117812;0.45183018339970316;0.0020547040174174365;0.31842354348265944;0.004053378935013247;0.45183018339970316;0.0020547040174174365;25.073470950126648;3.0137445325308083
{'hidden': [32], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4502331486684385;0.0016724003080545705;0.9514770501267054;0.002477994029522998;0.6112327874362417;0.001878914946446288;0.5130513881119511;0.014635879181720319;0.042148010544072925;0.0020845961837631004;0.07788819769341843;0.003665648688159319;0.48164226839019475;0.008132489067975857;0.4968125303353892;0.0014398663010712894;0.34456049256483;0.002455284644499969;0.48465336826503636;0.00869905515063678;0.4530610451752193;0.0022606385490733212;0.3188983829805244;0.0030261424610575423;0.4530610451752193;0.0022606385490733212;27.241446018218994;2.0627904450752017
{'hidden': [32], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45378318328433237;0.003197020938697307;0.9532198892435074;0.003991177084280981;0.6148550975648244;0.003419378321749884;0.5713830526073584;0.08286085115847187;0.05394343224609046;0.014325931666992222;0.09843161899728074;0.025323276835833294;0.5125831179458453;0.04298436800061966;0.5035816607447989;0.0076519081163155265;0.3566433582810526;0.014100959078585157;0.5183100473385505;0.04686383588020754;0.46032749744290447;0.007495070106850664;0.33181710921741153;0.014698359633440919;0.46032749744290447;0.007495070106850664;14.341969192028046;0.5404104654314191
{'hidden': [32], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4498840057405953;0.0017835798331418348;0.9516039182502345;0.0027452820331149252;0.6109355399244252;0.0018023770392346095;0.5029275811638779;0.02591368067113268;0.040655521658014226;0.005384026638705394;0.07518913787179489;0.009458828147196681;0.4764057934522366;0.013735378037398868;0.4961297199541243;0.00204333479630045;0.34306233889811;0.005130303138277953;0.47894660274550904;0.014892404378304072;0.45230090207052204;0.0028533627601427035;0.31728535740052344;0.005737171293710164;0.45230090207052204;0.0028533627601427035;13.625045418739319;2.4620936523263204
{'hidden': [64], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.44922660960859;0.0014027549445718253;0.9500482537804817;0.0017323072514264742;0.6100105337176556;0.0014844118102922477;0.49048960376694906;0.021337737468220517;0.03968686850859738;0.002321865596855639;0.07342929220319541;0.004199579605929712;0.4698581066877695;0.011187789093670499;0.49486756114453956;0.0018250487416214048;0.34171991296042553;0.0027672456113608398;0.47184283788999126;0.012171287312880188;0.45106584145807405;0.0021405717556281256;0.3159028051841549;0.003126400790213001;0.45106584145807405;0.0021405717556281256;9.136179804801941;0.577814756514537
{'hidden': [64], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45803964597451535;0.0026020671192924926;0.9514042874817275;0.005808739108601319;0.6183681089275159;0.0031726591201355716;0.6422785289877535;0.03747102196763709;0.0719087119283585;0.005883900417850499;0.12929215153886275;0.01002281484482625;0.5501590874811345;0.01985040981571333;0.511656499705043;0.004562298095494225;0.37383013023318934;0.006372786090298451;0.5590300805360444;0.021584510979308306;0.4693346038803188;0.00471330835170193;0.3502942252498942;0.0069333593203651156;0.4693346038803188;0.00471330835170193;9.29216593503952;0.5618802509558207
{'hidden': [64], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4500087858449846;0.0016374874528738335;0.950763725862875;0.0024009601094739665;0.6108769367340221;0.001476325776929183;0.5072530404519835;0.02109993871261976;0.04198961524266178;0.004517104211107464;0.0775293510902984;0.007931914274743783;0.47863091314848405;0.011250915456140412;0.4963766705527684;0.001671342702626476;0.34420314391216034;0.00442731385344547;0.4813753763377715;0.012169583550605666;0.45264944469833124;0.002527645472398008;0.3185388643419518;0.005097279332848407;0.45264944469833124;0.002527645472398008;9.462592661380768;0.7040970027754911
{'hidden': [64], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4501068660031481;0.0014572006288385293;0.9499188210716714;0.0021211571913028237;0.610792727590896;0.0011394511980246111;0.5106023950155247;0.012334396041178202;0.0432222459042847;0.00399405948178591;0.07967117486173653;0.006932759937465605;0.48035463050933647;0.0068170218833444405;0.49657053348797797;0.0010505809281799953;0.3452319512263162;0.003826792648630676;0.48325743164787893;0.007289844197515393;0.45294259031965345;0.0020918290750246886;0.3196742872729487;0.004517302241748995;0.45294259031965345;0.0020918290750246886;20.668304085731506;4.768273376787337
