Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
{'hidden': [32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4484810271183949;0.0034870729101758252;0.9463516728181068;0.006842776024140023;0.6085606051984919;0.004564958229193074;0.4740236596347144;0.0747186155542019;0.04050932114550475;0.00925634343664403;0.07459262549669313;0.016608393509171426;0.46125234337655463;0.03897107954597948;0.49343049698180586;0.0069596650132786745;0.34157661534759254;0.010017159600935733;0.4625090530216082;0.042454856979831146;0.44985528603813213;0.006873669990117821;0.3158962914568191;0.010370065931614882;0.44985528603813213;0.006873669990117821;4.145198404788971;0.25353312698198593
{'hidden': [32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.44656129295020797;0.000892503590661691;0.9461003028441102;0.004367059871819598;0.6067375531609065;0.0014150500719156474;0.4256842988100309;0.025510662024864433;0.03330849020289538;0.005905881354884782;0.06172421036705866;0.010411476830789404;0.4361227958801194;0.012747874807988748;0.4897043965235028;0.0013147229825595259;0.3342308817639825;0.004766242815812286;0.4351342502704585;0.013975464114733297;0.4457927307885569;0.0013843074581059525;0.30801573889862865;0.005023571635509151;0.4457927307885569;0.0013843074581059525;7.003332734107971;0.4492629454171641
{'hidden': [32], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4463843465025665;0.0015213407902566018;0.9465484244023418;0.0035930194287665434;0.6066646266348441;0.001449223620613085;0.4163924092656992;0.05480959398738324;0.03214599287474305;0.0070265156894465984;0.05964009477360744;0.012711551200189868;0.43138837788413287;0.028052264581472537;0.48934720863854236;0.0031194132589409556;0.3331523607042258;0.006798856397872766;0.42995816518819185;0.030637019153635852;0.4453511999381591;0.003244763148519561;0.30683435717478474;0.007332526024684914;0.4453511999381591;0.003244763148519561;6.236077189445496;0.34146911047790346
{'hidden': [32], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4464298889591721;0.0007850508752334769;0.9456409975254562;0.002530158822633764;0.6065228912525078;0.0008767007936531494;0.4220423185817157;0.0482131276366243;0.033252384383638235;0.006655987256836609;0.06160984826733396;0.01191906162250004;0.43423610377044397;0.024463169728553467;0.4894466909545473;0.0031648683910238356;0.33406636975992093;0.00621105799937528;0.43310546335937855;0.02671061423958513;0.44555340903345453;0.002661070823603461;0.30785775226429946;0.006314764267704696;0.44555340903345453;0.002661070823603461;6.145035684108734;0.4685520889147733
{'hidden': [32], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4459319145227617;0.002616787185942082;0.94667626370929;0.005681351111467922;0.6062715215668695;0.003081121808296411;0.40500403953561337;0.04174748934142314;0.03025468610190845;0.006021923667933033;0.056252048736968506;0.01078455945195531;0.4254679770291875;0.02213410875877546;0.4884654749055992;0.0033794150047557633;0.331261785151919;0.006242386891403087;0.42346237512702467;0.024020003717894475;0.4443686721386492;0.004250283454272483;0.30479157198204154;0.007151583879243409;0.4443686721386492;0.004250283454272483;3.7456268668174744;0.3721695342012979
{'hidden': [32], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.447399325210774;0.000948261155317457;0.9469377136684302;0.0033112448998039393;0.6076829517992667;0.0009746695340072351;0.44764509361254967;0.03699664987146166;0.035727240837681765;0.005174798403164975;0.06614579668800327;0.009255943067026635;0.4475222094116619;0.018914950113608508;0.49133247725305595;0.0028356803786975388;0.33691437424363496;0.005021871147437375;0.4475559322099721;0.020660993429398113;0.4474892601934005;0.002456046066464524;0.310860753585581;0.00528901157998281;0.4474892601934005;0.002456046066464524;4.010855197906494;0.17087990348101106
{'hidden': [64], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.44876297997748715;0.0009425737040289559;0.9484916163017351;0.0023418083593504837;0.6092624336530514;0.00116375136955053;0.48054168919160156;0.032262671155441534;0.03945783945137098;0.004181006404710765;0.0729154430173574;0.007499159080118879;0.46465233458454425;0.016468674107624103;0.49397472787655305;0.0026559375436578736;0.3410889383352045;0.004134288589977249;0.46620378759327097;0.018019691794472298;0.45023930820538116;0.0022215897181224005;0.3152877574447326;0.004154802718912481;0.45023930820538116;0.0022215897181224005;3.8254071474075317;0.21624358960371384
{'hidden': [64], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4463896532608056;0.0014224323436862764;0.9442167469508057;0.004154159148764045;0.6061899655316266;0.0015497300571241251;0.42824603769586844;0.014014254937475719;0.03457066421081213;0.00397368036466876;0.06394097420995895;0.006933462965038487;0.43731784547833696;0.007642399578739906;0.4893937055808089;0.001023257979337094;0.3350654698707928;0.0035150484430110517;0.43643355185273874;0.00826584423094639;0.4456238955374023;0.0019100478358551486;0.3089724554147839;0.0042572340322287365;0.4456238955374023;0.0019100478358551486;3.6093670129776;0.14423364276349387
{'hidden': [64], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.44663415941639995;0.001634989989329385;0.9466153175110852;0.00114957199035998;0.6069121334859646;0.0017010126594679126;0.42767167587598753;0.03350850418220967;0.033066274533947046;0.003935638853843383;0.061379723777137005;0.007124607100226516;0.43715291764619374;0.01742320439280564;0.48984079602251607;0.0025158742903302017;0.3341459286315508;0.004307049188191678;0.4362404292360531;0.01899326214612883;0.44588662456254635;0.0028226175831581077;0.30789910176632385;0.004671392668266838;0.44588662456254635;0.0028226175831581077;3.8366474509239197;0.17773143834930397
{'hidden': [64], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4478840164050286;0.0012025349523080617;0.9472639454000018;0.0019190796387863211;0.6081971345828554;0.0008097114291746116;0.4584191317466332;0.03599277458286425;0.03727469741736768;0.006034105876110242;0.06890680164399858;0.010758808358003838;0.45315157407583084;0.01843946213428375;0.4922693214086847;0.0023275607531867333;0.33855196811342697;0.005668090336824388;0.45366962324406446;0.02014050845146686;0.44848717708121993;0.002504346414863866;0.312607291414949;0.006089850818919653;0.44848717708121993;0.002504346414863866;5.974975764751434;0.4063050291578422
