Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
{'hidden': [32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45687599163383874;0.0007192631822271069;0.9485606241421193;0.002101519286877969;0.6167100423755381;0.0004939472849329985;0.6224949521411958;0.01764095691088273;0.07031220230593396;0.007413964512361309;0.12628155026857277;0.012312341976700687;0.5396854718875173;0.009110699598801222;0.5094364132240266;0.0027699384992235215;0.37149579632205537;0.006222727464399164;0.5476693971113191;0.010067701327628199;0.46718902023418196;0.002454247992011918;0.34791050102543986;0.006375208519399759;0.46718902023418196;0.002454247992011918;3.762372076511383;0.1385995699834622
{'hidden': [32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45196320859617095;0.0019471717688147035;0.949202021875795;0.003540665447877453;0.6123488128933925;0.001837934002663442;0.5480892718299326;0.029112366935358416;0.05107700132550408;0.006094136508236814;0.09339404201776252;0.010543890610086138;0.5000262402130518;0.015397186410237173;0.5001395116006495;0.002783978566159644;0.3528714274555775;0.005952855267877783;0.5046461037953807;0.016708171179810577;0.456922516661068;0.003405884037070781;0.32789797583932484;0.0066813852691815;0.456922516661068;0.003405884037070781;6.496964395046234;0.4442000876462386
{'hidden': [32], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.449998619135763;0.001591959001191405;0.9464859531272681;0.0015787252385854138;0.6099834033952941;0.001571294308170176;0.5104323275546355;0.030778078007594377;0.046256064273721996;0.005112488068302045;0.08480755725238563;0.008994449201079663;0.48021547334519926;0.016033339932431674;0.496371008700495;0.0030332708252024;0.3473954803238398;0.005241448422979538;0.48313304396113216;0.017456787118616302;0.4530572028396762;0.0031063395838650584;0.32212871466401416;0.005576185446598774;0.4530572028396762;0.0031063395838650584;5.2535558342933655;0.38114034556131693
{'hidden': [32], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45207397874877897;0.0016364003246884307;0.9487525072279129;0.0034560060104428768;0.6123610715854402;0.0021172801582523483;0.5518551334564656;0.01665565569681997;0.05196801747777125;0.002183744028445662;0.09497762547998209;0.0037456977745464427;0.5019645561026223;0.009036743271507408;0.5003602623528421;0.0017806132743773836;0.35366934853271115;0.002218435542869757;0.5067589640573787;0.009710665645134824;0.4572148412973876;0.0022315195945477187;0.3287780317510489;0.0025201426937783546;0.4572148412973876;0.0022315195945477187;4.994496703147888;0.45206232526097967
{'hidden': [32], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45004190787153864;0.0049740775046896325;0.9477147113829181;0.0022226145035770233;0.6102680524331463;0.004915367446857119;0.5007847632581937;0.07349559286134022;0.045082420348978886;0.013812464962526059;0.08257769217788422;0.02412426178364558;0.4754133355648662;0.03923355779338282;0.49639856586594844;0.0077469409993383585;0.3464228723055152;0.014509769664414312;0.47779161131954795;0.04241454981131859;0.45295793804321594;0.009144717527596912;0.32101567165702016;0.01590965712201208;0.45295793804321594;0.009144717527596912;4.248213350772858;0.1337854778776779
{'hidden': [32], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45257349528581287;0.002515322200574504;0.9466140492546836;0.005941849111180377;0.6123672706456234;0.003008041738600639;0.5591803238284416;0.03891080293040995;0.05599953501496564;0.006587126246693083;0.10174410909341908;0.01142240475486306;0.5058769095571273;0.02062220514540912;0.5013067921348247;0.004268482017379974;0.3570556898695212;0.006789206329864331;0.5110038723813445;0.022374912611728744;0.4584497895874521;0.00456115721022355;0.3324822645308072;0.007484744738510975;0.4584497895874521;0.00456115721022355;3.777482748031616;0.3250272224395
{'hidden': [64], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45383278300150376;0.005179153933640289;0.9489474660980698;0.0013974984076291128;0.6140002515547718;0.0049932982283873995;0.5701149245209447;0.07194576952909623;0.05832493124930922;0.015945500216197235;0.10563000670008443;0.027474155648534032;0.5119738537612243;0.038549844982908185;0.5036361986736895;0.008591480526152965;0.3598151291274281;0.016218713389963363;0.5175267913997007;0.041701696642806034;0.4607760249183754;0.00985848087027584;0.33534222394133795;0.0176270407539142;0.4607760249183754;0.00985848087027584;3.960103392601013;0.49542198772520774
{'hidden': [64], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4472511907512632;0.0016813872302957787;0.9422726793845839;0.0017269236180076251;0.6065838761018234;0.0016994073187150335;0.4550400368402128;0.031129235848480888;0.03990229839613196;0.003974586635832935;0.07336322414583497;0.007123405212625223;0.451145613795738;0.01628473321271509;0.4910874888903579;0.0026191134312502145;0.33997355012382924;0.004402830124129512;0.45151891524664056;0.017729806832590247;0.4476692164017605;0.002929852309820313;0.3143172158026821;0.004845803081912926;0.4476692164017605;0.002929852309820313;3.6951828002929688;0.08358811818483722
{'hidden': [64], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4526908407119447;0.0026599182985067023;0.9471972799694846;0.0023794721824944827;0.6125972134796844;0.0024982576047156676;0.5601164255115736;0.028358410409742067;0.0558469684478156;0.006870231879276603;0.10151590837089233;0.011802604639929156;0.5064036331117592;0.015489080857493762;0.50152212420865;0.00328899746318931;0.35705656092528837;0.007010787841801589;0.5115494299875785;0.01662288184312283;0.4586299739384899;0.00442477752736486;0.3324584513859195;0.007931319813923117;0.4586299739384899;0.00442477752736486;3.3986369967460632;0.05264556412729927
{'hidden': [64], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45115018167459925;0.0023747224446098703;0.9484920841581289;0.002580159139434486;0.6114575989833034;0.0025806946561301777;0.5314475008904729;0.0409460338462569;0.048656183435490066;0.007228295653882517;0.08910978905764748;0.0126505224334617;0.491298841282536;0.021545589253014603;0.49857413379680954;0.004170367564964008;0.35028369402047543;0.007340894362981591;0.4951648106032935;0.023423986989299136;0.45528213471676643;0.00449527995475587;0.3251547713958588;0.007819783159030336;0.45528213471676643;0.00449527995475587;5.617000102996826;0.5380764183035608
