Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
{'hidden': [32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4512221940706842;0.0013423751849833843;0.9483660554633614;0.002567131678840751;0.6114988160172392;0.0016309388119975297;0.5355847279188998;0.02269073604602357;0.04908749315994739;0.0020040589634864833;0.08993217717543381;0.003679889190312923;0.49340346099479193;0.011818995448733077;0.4987267743116544;0.0022732892154259765;0.3507154965963366;0.002606460497348731;0.49746894257192154;0.0128937265313662;0.45545872841822094;0.002220352279419893;0.32562198052263597;0.0027449609714616705;0.45545872841822094;0.002220352279419893;4.17507791519165;0.33730791817784733
{'hidden': [32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.446875848456129;0.0009453725014925957;0.9476476977897431;0.0033604603959949838;0.6073452528562095;0.0008091248685060323;0.42864828633731;0.03755665535298082;0.03294773439380645;0.006940296277796489;0.06113024674472195;0.012316594927253264;0.43776206739671947;0.01904835267995402;0.49029771609177486;0.002275485107405316;0.3342377498004657;0.0061578547612587105;0.4369074874640152;0.020817118398276383;0.44629191085037;0.0022761138274557816;0.30796342065393306;0.006526753574663332;0.44629191085037;0.0022761138274557816;6.4520702958106995;0.9851351637356177
{'hidden': [32], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4456449385619827;0.001392358394388053;0.9462234297704744;0.002379697973761539;0.6059173056265923;0.0014845244034441816;0.40008505024222235;0.016634404761882052;0.02959817481895116;0.002105934792110859;0.055111446651302555;0.00378223715861198;0.42286499440210246;0.008908342213824744;0.48791080229471273;0.0013579404263621157;0.3305143761389474;0.0023832273744911823;0.42066557157318374;0.009679156958128356;0.4438070555809803;0.0019201372211055982;0.30401177001069557;0.002923335617598997;0.4438070555809803;0.0019201372211055982;5.852654218673706;0.33376921720011726
{'hidden': [32], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.44743525687819397;0.0013267399837437583;0.9488153137093772;0.002963611953740662;0.6081045747623062;0.0017757569980406428;0.4461904396895518;0.014414610068460228;0.033966563562828456;0.0014642275137517681;0.0631203612776575;0.0025960915943574045;0.44681284828387285;0.007563196103737611;0.49139093863610284;0.0014028250700169375;0.33561246801998185;0.0012899162367166494;0.44675444790090546;0.00822964181648916;0.44737671822040054;0.0016648059182392577;0.3093942368666741;0.0013538720264147134;0.44737671822040054;0.0016648059182392577;6.138022601604462;0.9553919323729377
{'hidden': [32], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4454628801810561;0.0036528646928032284;0.9486837872367833;0.004873700913832701;0.606246253303633;0.003900857107194265;0.3747997375153994;0.07822491870995321;0.02631422007204952;0.009406182567031966;0.04910470933346968;0.0170132068424769;0.4101313088482278;0.04092906113814279;0.48749900365441645;0.005541197606070882;0.32767548131855134;0.010219969668076485;0.4066693670676743;0.04451190967490792;0.4431120037721074;0.006580606993948757;0.3008569092774339;0.011352359488454151;0.4431120037721074;0.006580606993948757;3.9139044880867004;0.08242696059210505
{'hidden': [32], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4474673290866057;0.0021721536461100244;0.9495257713033414;0.003924476735469546;0.6082754372521719;0.002219291098601543;0.4420914315030132;0.034999386985094284;0.03335400087699375;0.005712672732594421;0.06198324275518989;0.010219425179328258;0.44477938029480946;0.01854703313369237;0.49143988609016753;0.0023822858066042145;0.3351293400036809;0.0057559392694409755;0.444489614386372;0.020117656946722507;0.44735487565603127;0.0034631190397825286;0.30883884935931716;0.00665815253007821;0.44735487565603127;0.0034631190397825286;4.415048658847809;0.2659617749179177
{'hidden': [64], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4477679059871283;0.003195846934547984;0.9461562633617576;0.004609915938029439;0.6078601538012975;0.003605112657331588;0.4584758607168024;0.052377323514668964;0.03794574475622143;0.00682522703760393;0.07005605061869304;0.012188586725403775;0.4531218833519653;0.027749277427001295;0.4920510040589895;0.004758284717583566;0.3389581022099952;0.007718925905264199;0.45360502849725526;0.030070799955273047;0.4483487661612954;0.005542226948998673;0.3130749514502411;0.008570466980882525;0.4483487661612954;0.005542226948998673;4.7812241315841675;0.3340457368040189
{'hidden': [64], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.44417130255354303;0.0017016374492119062;0.9461574097704328;0.006259707909211716;0.6045391412615855;0.0026653566150555766;0.3515498339248875;0.037696685732696376;0.02387650761221182;0.0018390480454386618;0.044701978811861894;0.003447863440022798;0.39786056823921523;0.019626788976131314;0.48501695869132233;0.0035782765461070923;0.3246205600367237;0.0028300434446848696;0.39341450229837105;0.021365359087313514;0.44063872546258065;0.0031138647183036657;0.297683309944318;0.0029777409040101146;0.44063872546258065;0.0031138647183036657;4.356688141822815;0.15516091560724535
{'hidden': [64], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4483937324684527;0.000939522633091859;0.9487502970145648;0.002279598016698833;0.608974383657047;0.0008497134070176835;0.4720128299449738;0.010824951804174705;0.03776812509904222;0.0016234611410288233;0.06993243915632297;0.002839144018478088;0.4602032812067133;0.005582148434232365;0.49325921105680354;0.0010081050346923007;0.339453411406685;0.0016653243147096083;0.4613427193007239;0.006090287587529389;0.44942617847181277;0.00116513275691593;0.3135170214684089;0.0021280061389403783;0.44942617847181277;0.00116513275691593;4.108437359333038;0.4280073380263183
{'hidden': [64], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.44665132769726534;0.0013516350538649113;0.9481019057805771;0.0024058969502279578;0.6072327926798815;0.0014694558150255563;0.4250218497836965;0.019393249128963702;0.0316247063481757;0.0017097298629471236;0.05886507571372375;0.0031107018857004557;0.4358365887404809;0.010231313291751082;0.4898633060643764;0.0016422511716744183;0.33304893419680265;0.002244881572513679;0.4347928074086965;0.011122500191670139;0.4457663085486974;0.001966589915719919;0.3066636694467989;0.0027089367999756915;0.4457663085486974;0.001966589915719919;5.896711826324463;0.31542284024989026
{'hidden': [64], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4417447367012518;0.0014080973576383502;0.9436942493429894;0.005032437218225286;0.6017866078944653;0.001863058038316288;0.2620710283655901;0.03570027210075001;0.01678378396453618;0.0037536007149362636;0.03152639777068063;0.006905125775972939;0.351907882533421;0.01819975503624995;0.4802390166537628;0.0015969450330491392;0.31665650283257296;0.0033798008816004507;0.3432451632391738;0.019999285239864842;0.43563921594370764;0.0019786894654219675;0.28921673534202436;0.0040648418619663685;0.43563921594370764;0.0019786894654219675;4.845449686050415;0.5071137578718147
{'hidden': [64], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.44735074424157945;0.0024086746084205804;0.9493328628746986;0.0027091849009158306;0.6081283556061253;0.002316753392338533;0.43785017564601186;0.047947438571521284;0.03308405915722614;0.006539602431149809;0.061479780369578185;0.011766158010044199;0.44260045994379565;0.02511675382394162;0.4912084610159624;0.0031304022046801747;0.3348040679878518;0.006847679864585955;0.4421118286513697;0.027315067308633076;0.4471194699155591;0.00412562361788252;0.3084961501576269;0.007737949936686499;0.4471194699155591;0.00412562361788252;3.661313474178314;0.12473515236060914
{'hidden': [32, 32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.44265281095077225;0.0012395333182755278;0.9460965323158224;0.0039445072914597685;0.6031186299678614;0.0014952763773587966;0.28677149865672;0.02206863973502274;0.017902957203851926;0.0021509074316770982;0.03369046575877824;0.003917956680431178;0.3647121548037461;0.011648587519859852;0.4819997447598371;0.0017477556699004634;0.3184045478633198;0.0023526687635298782;0.35719983728603577;0.012749737952131237;0.4373366751812355;0.0018652823633014323;0.29100394262558266;0.0029870541953824644;0.4373366751812355;0.0018652823633014323;3.6150721311569214;0.1565556660599566
{'hidden': [32, 32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.44701758291224936;0.0006468810131079188;0.9459606228783602;0.005103452862802831;0.6071295789099165;0.0015160629062537392;0.4424481294622591;0.017637738553349585;0.035253071258688554;0.002358682571372061;0.06527496357251569;0.004048046991074712;0.4447328561872542;0.00884328834406964;0.4906068470685244;0.0018614039117422622;0.33620227124121616;0.0014344155190436662;0.4445288795634016;0.009677318820708443;0.44678770368740417;0.0009761089069401288;0.3101324725325151;0.0015243259000846637;0.44678770368740417;0.0009761089069401288;5.131576240062714;0.43644209797483063
