Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
{'hidden': [32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.47123386205958995;0.0019549493173422108;0.9486457226911089;0.0029742122686234017;0.6296728449591832;0.0014677383562245066;0.7409709252527272;0.012864570702907951;0.12159313340016295;0.01021440797723662;0.20877197312129586;0.015497071879897904;0.6061023936561586;0.007152430075550523;0.535119428045636;0.0042096307148220624;0.4192224090402395;0.008336909517741057;0.6190312167998966;0.007875802245961003;0.49551138358484337;0.004287968847452504;0.3990706659568822;0.008784110000429838;0.49551138358484337;0.004287968847452504;4.685172736644745;0.14969127456837916
{'hidden': [32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4596892502036396;0.0007232802177602895;0.9501863899102863;0.0037667060633212093;0.619613960997136;0.001259805118825577;0.6565911481211886;0.011610263093456922;0.07843999719507272;0.002914274630384551;0.14010661174166644;0.00453834498572809;0.5581401991624141;0.00583776577178209;0.5143131935526795;0.000983290833588206;0.37986028636940117;0.0016502861796525096;0.5675768433510618;0.006454776869835802;0.4725602367783197;0.0003959460716838937;0.35689628071840696;0.0016744394416179343;0.4725602367783197;0.0003959460716838937;8.19605141878128;1.227447003741589
{'hidden': [32], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4595010874730801;0.0028718649837055684;0.9494801917040336;0.0030487379491439446;0.6192923315018936;0.0031698969147532364;0.6519108438771823;0.030574804953067743;0.07840300775087128;0.006280707072354608;0.1399562912997666;0.010701516732488087;0.5557059656751312;0.016615451115492497;0.5139415997274525;0.004605329194862795;0.3796243114008301;0.006922335348684523;0.5649181779593716;0.01791420127879217;0.4722167686087939;0.005049599037861983;0.35666313547417694;0.007469956117264159;0.4722167686087939;0.005049599037861983;9.33795577287674;0.43376662853072195
{'hidden': [32], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4585880564668427;0.002547942017657451;0.950186208597144;0.002441949322456996;0.6186121840744034;0.002721769515139783;0.6424938383954509;0.03126283818086667;0.07431378995299363;0.0071212869032311246;0.1331873903440684;0.012077687849219497;0.5505409474311468;0.01678284235269756;0.5122499992750689;0.004532951341229219;0.375899787209236;0.007311831464650975;0.5593543184522559;0.018182176573229427;0.4702975563684366;0.004786595760676631;0.3526503377401476;0.007780097162691819;0.4702975563684366;0.004786595760676631;14.116885364055634;2.222035523506661
{'hidden': [32], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4650389860136912;0.0023463949207277765;0.9487097756793803;0.0009467879757622499;0.6241336967046296;0.002050056994720076;0.7009185825844925;0.011400569177458492;0.09943548880240764;0.006392287207125594;0.17411803882730298;0.010155431608700145;0.5829787842990918;0.006765191833063008;0.524072632240894;0.0029533472628533765;0.39912586776596626;0.005997793748873057;0.5942735015267713;0.007078248366109652;0.48339096517134644;0.0037987567297728593;0.37756774966312945;0.0066512599379073625;0.48339096517134644;0.0037987567297728593;7.700293600559235;1.2709583137059224
{'hidden': [32], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4587768849197205;0.0023855219888442476;0.9499937364550841;0.002729174147168296;0.6187439652315687;0.0026690343810060716;0.6448664089739518;0.02798279207806636;0.07521481733635028;0.0058926607024877365;0.13469858837555065;0.010044147719737023;0.5518216469468362;0.01506171283027525;0.5126042768957172;0.004080802881111708;0.3767212768035597;0.006221110581067885;0.56073742974676;0.016297214627160477;0.47070477272589367;0.004310706460210554;0.35353810324198076;0.006607650473804151;0.47070477272589367;0.004310706460210554;6.585830271244049;0.5779463501068958
{'hidden': [64], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4602062229297896;0.002369015532108286;0.9500579707564978;0.0027768633383898488;0.6200559928554917;0.0026208956431423864;0.6600487629229913;0.02728383849242332;0.08044731510132347;0.007587190181222276;0.14336788018252772;0.01265645603847183;0.5601274929263904;0.014735219525201178;0.5152526429289106;0.004430863979473819;0.3817119365190098;0.0073380497675980625;0.5697054561903727;0.015962132598427718;0.4736043985364653;0.0045585257013868175;0.35888540577879824;0.007699762953071409;0.4736043985364653;0.0045585257013868175;5.988720595836639;0.1509931019136917
{'hidden': [64], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.46538077283874707;0.0016930827340467312;0.9489021654063755;0.0031784607867920947;0.6244809766763768;0.0009951203624864844;0.7042892020531957;0.00608161568754884;0.10049109164826556;0.006963458051424015;0.17580109008911785;0.010742312460075037;0.5848349874459713;0.0032974192279555284;0.5246966285273205;0.00210139307314041;0.40014103338274737;0.005723805106732126;0.5962821458547338;0.003620983690912136;0.48405579149572375;0.002830613459573975;0.37864779648125385;0.006366510208392907;0.48405579149572375;0.002830613459573975;6.355993747711182;0.31920138431624384
{'hidden': [64], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4585381800530578;0.0018530727802074012;0.948709891060471;0.0032164137903942687;0.6182539858417705;0.0021125556918895577;0.6398982920772684;0.02555788290548713;0.07556760001638455;0.0074931804714939015;0.13511134256960017;0.012470108437212506;0.5492182360651631;0.013603398210583376;0.5121387455384276;0.0038484050656794645;0.37668266420568536;0.006837176172004218;0.5579153509617994;0.014802874737818108;0.4703230855805306;0.0038023202302390684;0.35354929284498027;0.007113370342272079;0.4703230855805306;0.0038023202302390684;6.029608428478241;0.17148574150192153
{'hidden': [64], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4591815609111425;0.0013081399514494052;0.9506356838769101;0.00268624694134362;0.619248518709766;0.001558530965537235;0.6516560332777603;0.010553403863810875;0.07611729533058142;0.0010414525019192306;0.1363038284582001;0.0015595382560878231;0.5554187970944514;0.005650961488310761;0.5133764896037457;0.001058843831708797;0.3777761735839831;0.0010229702182298465;0.5646374895294719;0.0060729715612439375;0.4714891299392564;0.0014886523880467577;0.3546449596935449;0.0014316018310526963;0.4714891299392564;0.0014886523880467577;11.509194910526276;0.9934569162747875
