Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
reg_kernel:rbf_gamma:scale_nu:0.05;0.1759982267988769;0.004495874306814296;0.9501334192123665;0.032309678057799954;0.2969802444111238;0.007953937096610375;0.9038716697598772;0.05069444162034736;0.08960784313725491;0.007113081234202765;0.1628333312319006;0.011308010978936606;0.539934948279377;0.027537926789917747;0.5198706311748107;0.013789968008762981;0.22990678782151225;0.0047955815108547285;0.7801786141233913;0.04265600731031716;0.23583896762018855;0.004362184394934819;0.18563113383784036;0.008704841986298147;0.23583896762018855;0.004362184394934819;0.0238492488861084;0.006571982408933705
reg_kernel:rbf_gamma:scale_nu:0.1;0.17747336159060711;0.003601060430270624;0.9032204637467796;0.02128132603392111;0.2966551508160522;0.0061492517646921305;0.8791289083408907;0.022291163309653486;0.14313725490196078;0.004722193952467567;0.2461327418847167;0.006960648570143082;0.5283011349657489;0.012932821806994768;0.5231788593243701;0.010305158004467456;0.2713939463503844;0.004808650919263832;0.7598977317979012;0.018941723860958836;0.27229693376411;0.004774717250784646;0.2547187584943001;0.005949529987603384;0.27229693376411;0.004774717250784646;0.03798799514770508;0.009621117320708292
reg_kernel:rbf_gamma:scale_nu:0.15;0.17949810135093192;0.0037084305266504494;0.849585940375414;0.020925917008164523;0.29637753247995313;0.006327145874841698;0.869811507812603;0.01518644943368672;0.20509803921568626;0.0011433239009500547;0.3319051225505004;0.0011665761162453514;0.5246548045817674;0.009442526338641906;0.5273419897955502;0.010092531582335284;0.3141413275152268;0.003279011005764237;0.7525099803749322;0.013098204253301026;0.3146151766617281;0.0031260609941579872;0.32586964123460926;0.0015194130874896415;0.3146151766617281;0.0031260609941579872;0.032847118377685544;0.0006844355597281174
reg_kernel:rbf_gamma:scale_nu:0.2;0.18214606950086457;0.004901820079840018;0.7969083548030916;0.02738808967476755;0.29651040123285305;0.008293813438515398;0.8658831015971128;0.014886496201195054;0.2676470588235294;0.00879078892998426;0.4087900781362088;0.0101104859605263;0.5240145855489887;0.009876001160317182;0.5322777068133104;0.012771569992929834;0.3526502396845309;0.006737820791770767;0.7497000118857133;0.013089458998013875;0.35758395772098284;0.007125841620165839;0.38971250603633045;0.008592527103697655;0.35758395772098284;0.007125841620165839;0.038806819915771486;0.0011460281344906136
reg_kernel:rbf_gamma:scale_nu:0.25;0.19013216343307307;0.005253519476108148;0.754757085020243;0.02427063965458167;0.30374171986917514;0.008593137657294112;0.8721139263862051;0.011025280160947878;0.3419607843137255;0.006718369293730133;0.4912371197202674;0.007318746614590528;0.5311230449096391;0.0081225403001629;0.5483589346669843;0.012309533969435712;0.39748941979472124;0.006621828688725481;0.7562293769922418;0.009912212681922905;0.4121083055263276;0.006695058004447631;0.45937882624269744;0.006749375855757379;0.4121083055263276;0.006695058004447631;0.0457763671875;0.0011808920792222336
reg_kernel:rbf_gamma:scale_nu:0.3;0.1948641147168719;0.0033916324158039515;0.6953717335296282;0.023204340589736087;0.30439389372293013;0.0060325174621502844;0.8686918851986191;0.005904337648540232;0.4119607843137255;0.012818791473475411;0.5587269298842971;0.011150757744143001;0.5317779999577456;0.0045752883126040245;0.5536662589216769;0.00730787931848328;0.4315604118036136;0.005111420307555318;0.7541933992523407;0.005294369090516534;0.46012369368915695;0.0077277310562290395;0.5155121915930425;0.008882211873650367;0.46012369368915695;0.0077277310562290395;0.09058246612548829;0.0014011898684938824
reg_kernel:rbf_gamma:scale_nu:0.35;0.2070002518529705;0.006214921921524;0.6503404490246596;0.035369208664105846;0.3139972283492683;0.011066693056648926;0.8729112698682672;0.009017758451832086;0.4903921568627451;0.011787559502109128;0.6278299542021799;0.008090489111574471;0.5399557608606187;0.007551356122018992;0.5703663029437023;0.012938428001825486;0.47091359127572413;0.004547222644678485;0.7597581860839548;0.0083803931309203;0.5175775172739152;0.0055074412021740935;0.5745053490911165;0.005794302186659823;0.5175775172739152;0.0055074412021740935;0.05919828414916992;0.0025470086347728553
reg_kernel:rbf_gamma:scale_nu:0.4;0.21226495188478522;0.008254747577398688;0.598605999263894;0.03894146950068321;0.31332717212788425;0.013935385775671024;0.8693750882183041;0.008940069540601302;0.5456862745098039;0.013775818094313951;0.6703391871712819;0.00922572150174991;0.5408200200515447;0.008503054804422637;0.572146136886849;0.015071816053950414;0.4918331796495831;0.007114783819534362;0.7577178129610015;0.00863017367910045;0.5546866841769083;0.007873581595512848;0.6096781923085195;0.007279863998045582;0.5546866841769083;0.007873581595512848;0.06271295547485352;0.0007122864347281708
reg_kernel:rbf_gamma:scale_nu:0.45;0.21895636807184754;0.006410841630083775;0.5507361059992639;0.025583231365205846;0.31330453732969854;0.010428606011986693;0.8667993526119183;0.005540742549862731;0.5980392156862745;0.007843137254901933;0.7077113537630739;0.004767724785066457;0.5428778603418829;0.005915760620891197;0.5743876608427693;0.010501135317321482;0.5105079455463863;0.005381746435379631;0.7567171233062705;0.005524395225591765;0.5900055128106587;0.004729523831053541;0.6406947911606975;0.004000883942541768;0.5900055128106587;0.004729523831053541;0.07326045036315917;0.006143156553721192
reg_kernel:rbf_gamma:scale_nu:0.5;0.22505198433666287;0.0075661407975389115;0.5019046742730953;0.02497646407613821;0.3106858618688669;0.01126935524385274;0.8637799450750061;0.005009753189646534;0.6462745098039215;0.011754897872409313;0.7392888088375639;0.007497971203696022;0.5444159647058344;0.0061782490009513425;0.5740895920385085;0.010583365755690577;0.5249873353532155;0.007116825764509964;0.755246744554252;0.005304768632797004;0.6217435323864374;0.008282033753524754;0.6664603600985559;0.006661852078074688;0.6217435323864374;0.008282033753524754;0.11175508499145508;0.02771180194820475
