Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
reg_kernel:rbf_gamma:auto_nu:0.35;0.5285206468908823;0.016606222474505078;0.6341415163783585;0.02336449788828247;0.5763952205584498;0.017502397866869596;0.9219144594411413;0.004810270766067347;0.8841176470588235;0.006305072623848451;0.9026068560714965;0.004426814039213822;0.7252175531660118;0.010115340786765584;0.759129581718591;0.012442741372754073;0.7395010383149732;0.010777671336055348;0.8550659413221847;0.006383249007777266;0.8416360325785908;0.00697041928148283;0.847172759732512;0.006548747311113621;0.8416360325785908;0.00697041928148283;0.3054004192352295;0.05238561662862666
reg_kernel:rbf_gamma:auto_nu:0.4;0.5644571521758245;0.015386470350516511;0.5948610599926389;0.024924758990164372;0.5791732386050827;0.019079724297135017;0.9161574991146771;0.004927287662673625;0.906078431372549;0.003583464094607255;0.9110834059478942;0.0035210449754030032;0.7403073256452508;0.009908360874075785;0.750469745682594;0.013091944163790736;0.7451283222764885;0.01121803620568299;0.8563931192079345;0.006568139063636715;0.8531918643636548;0.005907602196163834;0.8546812551661953;0.00615511255777667;0.8531918643636548;0.005907602196163834;0.3083677291870117;0.05218026161519873
reg_kernel:rbf_gamma:auto_nu:0.45;0.5874908395156011;0.00655621069595473;0.5507729112992271;0.018327819888392834;0.5683298696812403;0.009177339471715769;0.9092177363885593;0.0031221078550855395;0.9207843137254903;0.003989605872426665;0.9149521872719808;0.0012447941105158988;0.7483542879520801;0.003286652677419106;0.7357786125123587;0.007567043172720376;0.7416410284766105;0.004785791982335814;0.8545481592926389;0.0026263416936227178;0.8579107507759016;0.0019234887596307603;0.8560526247677653;0.0021558163553563096;0.8579107507759016;0.0019234887596307603;0.33423466682434083;0.062451063262195516
reg_kernel:rbf_gamma:auto_nu:0.5;0.6308978892178915;0.005231839572189293;0.4894874861980124;0.018150333659111645;0.5510756288413983;0.011657548738152564;0.9000926735483514;0.0031220758046735207;0.9413725490196079;0.0024332693423511397;0.920262111519399;0.0008833342058734742;0.7654952813831214;0.0030876004203509904;0.7154300176088101;0.008056439948769142;0.7356688701803986;0.0061987504534128275;0.8543519016652528;0.002803643034529294;0.8645835045043373;0.0017389786757629044;0.8575274907015096;0.0026691866051708007;0.8645835045043373;0.0017389786757629044;0.40247764587402346;0.08442652963229852
reg_kernel:rbf_gamma:auto_nu:0.55;0.6615483885600235;0.012276083384362745;0.44157158630842835;0.009272817583617308;0.5295627645937329;0.008953121710475586;0.8929708776893065;0.0016264046264074846;0.9537254901960784;0.0024332693423511826;0.9223468912429326;0.0015436389059982631;0.7772596331246651;0.006599957123342469;0.6976485382522533;0.004780187623087069;0.7259548279183328;0.0051408670221487355;0.8536465450099004;0.0030359034533273682;0.8666994431531156;0.0025817573655393866;0.8556041276145324;0.002712604436738603;0.8666994431531156;0.0025817573655393866;0.3764807224273682;0.019695563464066916
reg_kernel:rbf_gamma:auto_nu:0.6;0.7032559628176227;0.008216259916540809;0.39465863084284136;0.015896121812776567;0.5053493159690887;0.012563109788598675;0.8863024524930673;0.002602554329287486;0.9658823529411764;0.002183437005031373;0.9243771518153192;0.0008413468186051215;0.7947792076553449;0.0039286268787050846;0.6802704918920088;0.0070864226784552835;0.714863233892204;0.006633090903378024;0.8552011200857669;0.00221529853602965;0.868815249282407;0.0016475907302451749;0.8531731133567917;0.00279942689440329;0.868815249282407;0.0016475907302451749;0.46906342506408694;0.0935703026570337
reg_kernel:rbf_gamma:auto_nu:0.65;0.7283344392420628;0.014081872686959216;0.3448334560176665;0.023518142085566983;0.4677300657073543;0.024081586988799704;0.8789562457751405;0.003783852370524096;0.9737254901960783;0.0014408763192842171;0.9239112843720563;0.001980510996076035;0.8036453425086016;0.008544965887934011;0.6592794731068725;0.011504749800914886;0.6958206750397051;0.0129935007297432;0.853361295959521;0.005188258527342168;0.866862309602627;0.0037558058981226497;0.8463952549427909;0.0057165297619591006;0.866862309602627;0.0037558058981226497;0.42801766395568847;0.017585269610343877
reg_kernel:rbf_gamma:auto_nu:0.7;0.7376872842877968;0.012013298760552097;0.3046006624953993;0.019319943006050274;0.43087167245353974;0.020026906558002395;0.8729341052862043;0.003038432962223703;0.9778431372549019;0.0014673166222642854;0.9224108643137459;0.0014981542069457225;0.8053106947870006;0.006916723720147284;0.6412218998751507;0.009274477887311788;0.6766412683836428;0.010709835039584661;0.8499508081150416;0.00399811230403305;0.8634443669941666;0.0028666587613355274;0.8388870135604627;0.004611871725490877;0.8634443669941666;0.0028666587613355274;0.5669061660766601;0.08778559951310218
reg_kernel:rbf_gamma:auto_nu:0.75;0.727580188055611;0.011911572938575369;0.24618145012881856;0.014607635930813918;0.3677499547236812;0.017814331532063132;0.8641060821350888;0.002383243087889622;0.9811764705882352;0.0003921568627450966;0.9189258253915635;0.001351918381336426;0.7958431350953499;0.007106671111179073;0.6136789603585269;0.007288834459481143;0.6433378900576224;0.009573964483896497;0.8409060626037868;0.003980703437149374;0.8562830139171966;0.002578230003874691;0.8252670011445394;0.004213081499497363;0.8562830139171966;0.002578230003874691;0.48932514190673826;0.027877922292112278
reg_kernel:rbf_gamma:auto_nu:0.8;0.7602398563047651;0.01489384739701216;0.20116396761133606;0.01342026734812584;0.3180193072684523;0.01804992006119285;0.8578785445104746;0.0022059114747382935;0.9870588235294118;0.0003921568627450966;0.9179447953405381;0.0013377538426114198;0.8090592004076198;0.00849590616228534;0.594111395570374;0.00678401149971389;0.6179820513044952;0.009686873865073158;0.8412858716585087;0.004316977458301345;0.8535161395483206;0.002543803921227965;0.8160018652275944;0.004264108420357967;0.8535161395483206;0.002543803921227965;0.5856135845184326;0.11934251774085157
