Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
{'hidden': [32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45091383859084094;0.002620386044221806;0.9441489101293079;0.005787568124771907;0.6103356788335574;0.003420640372952617;0.5280315899770541;0.056013216572684245;0.052108583015614066;0.008760576758587707;0.09479758064095502;0.015374794440276209;0.4894727142839475;0.02919638732237747;0.498128746572461;0.005759925661712174;0.3525666297372563;0.008840992048372064;0.4932171065682525;0.031795589677232276;0.4552154713928855;0.005496587371792522;0.3277722049146646;0.009120716487541772;0.4552154713928855;0.005496587371792522;3.7669957280158997;0.33915011839279957
{'hidden': [32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4605311237181116;0.0018311508718345218;0.9515388845642883;0.003888205598020013;0.6206621596696691;0.0016225560175764854;0.6673891708654722;0.029298512972170405;0.08098070854631559;0.011654444958880862;0.14426446356703157;0.01910507208459816;0.5639601472917919;0.015499831819131974;0.5162597965553019;0.005093761513598232;0.38246331161835034;0.01016680622060903;0.5739388956511879;0.017004688324750928;0.47438438486388407;0.004867972930659776;0.35955710096714455;0.010606181782297877;0.47438438486388407;0.004867972930659776;6.909898400306702;0.8613119957370013
{'hidden': [32], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45870088992494107;0.0011971215110281848;0.949790612192347;0.002424597073369365;0.618632308478366;0.0014210592132250387;0.6463293938396325;0.02459253711862581;0.07593415655117361;0.006221186058066824;0.13586724658691612;0.010426093361169557;0.5525151418822869;0.012824747777041182;0.5128623843717603;0.003509525852014761;0.37724977753264105;0.005728465907787468;0.561561552945404;0.014081884839468838;0.4708223367417026;0.0030664548482823677;0.35402994821171685;0.005796274426322026;0.4708223367417026;0.0030664548482823677;5.463709354400635;0.6361181456062224
{'hidden': [32], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4582542462071008;0.002593897353550388;0.9500507851044236;0.003060020301582966;0.6182749035689445;0.002276563511273604;0.6375028482612451;0.04059752113818137;0.07393458884688882;0.013735619546575028;0.1322956859655994;0.022946238029891725;0.547878547234173;0.0215355581631379;0.5119926869756561;0.00610305856886459;0.37528529476727196;0.012398392185415457;0.5565319191011256;0.02347146328553854;0.4698528094602428;0.006158600608576175;0.3519208587422888;0.013012322024590187;0.4698528094602428;0.006158600608576175;5.7726109623909;0.38371876963527624
{'hidden': [32], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4508638422389546;0.0017334795965250637;0.9446719591189542;0.005770344468819417;0.6103999231662912;0.002718153932926474;0.5311061128293282;0.01897255299348659;0.051433440934387606;0.0017680040304522838;0.09375415030893343;0.0027353164898478474;0.4909849775341414;0.010197416390282883;0.4980527000266709;0.002197962663954426;0.35207703673761226;0.0008776067007838008;0.49484229049456185;0.01102189867504988;0.45507922884949237;0.002281844892163661;0.32722264155550457;0.0009935199027993836;0.45507922884949237;0.002281844892163661;4.004031538963318;0.4025322501264691
{'hidden': [32], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4588346072862828;0.0036421739474542217;0.9501775030984476;0.0023920042268111967;0.6188253226972514;0.003139871079037074;0.6427103818854603;0.04683200948112995;0.0759212049825207;0.016476307728942992;0.1355215051399844;0.02714858222599301;0.5507724945858714;0.025113039064418242;0.5130493540404841;0.007829251793072686;0.3771734139186178;0.01511071927350852;0.5596526605106906;0.027309524358478523;0.4709951405604413;0.008101621694929452;0.3539347163301249;0.015976690909353563;0.4709951405604413;0.008101621694929452;3.4494365453720093;0.20427310153439407
{'hidden': [64], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45916754259017023;0.0003925410327024381;0.9499827667874228;0.0038372110376801976;0.6190950944228415;0.0005194159132193665;0.6526215074940727;0.010806562268001571;0.0774899383949063;0.005881926239042721;0.13846159272162284;0.009424844571982168;0.5558945250421214;0.005308331054282215;0.5137363525911645;0.001687187308975974;0.37877834357223217;0.004485151714917405;0.5652123598344962;0.00600982877914081;0.47176045894120067;0.0013616156527286754;0.35565831709637274;0.004724388043687278;0.47176045894120067;0.0013616156527286754;3.3275155425071716;0.1912179665390018
{'hidden': [64], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45256317038104993;0.0018512584460998623;0.943763514108491;0.0060681296011831235;0.6117617330154992;0.002575168463504196;0.5599081358693273;0.025443576851303596;0.058820520627886286;0.003952265918231421;0.10640935508184099;0.006608554018165082;0.5062356531251886;0.013501588025243497;0.5012920173681887;0.0028308298578341557;0.3590855440486701;0.003733258272065907;0.5114000064155872;0.014641968952446056;0.45871089475505067;0.0029462434308919812;0.3347686688414261;0.004267727234453294;0.45871089475505067;0.0029462434308919812;3.659300982952118;0.14521864866813558
{'hidden': [64], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4572784055633773;0.001651289584032175;0.9516681825882203;0.0022363786414285364;0.6177313811793939;0.001498960331482865;0.6303780019815965;0.031756600762328197;0.06875435017876817;0.00983054793564832;0.12388351510823176;0.016569039057097786;0.543828203772487;0.01665858018803243;0.5102112663834942;0.004630006227300534;0.37080744814381283;0.008927543211322804;0.552183928654411;0.018258464080182057;0.46773957255483345;0.004358073526689574;0.34705956366904983;0.009247342921458783;0.46773957255483345;0.004358073526689574;3.872491776943207;0.40038159616212543
{'hidden': [64], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.46126009163981385;0.002538676408065979;0.9495300849432204;0.0024111917613902356;0.6208939429631644;0.0021053495642556655;0.6697144792496666;0.03250229719130095;0.08557823055017891;0.013254290306427436;0.1515757594356257;0.021536330540026315;0.5654872854447403;0.017423826890594726;0.5175541577466998;0.006146490530344278;0.386234851199395;0.01179447267104246;0.5755448536214677;0.01904146036018126;0.4759965180513065;0.006095234937035084;0.3636695571446082;0.012354650327411879;0.4759965180513065;0.006095234937035084;5.553994178771973;0.4530225646311642
{'hidden': [64], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45184075323717016;0.0017539161587045314;0.9429167799465414;0.006268212691855496;0.610920461336266;0.0021244811393296334;0.546949167463568;0.023378769992747767;0.05690558546564736;0.0065827610537837625;0.10299343926797751;0.011121661665312088;0.4993949603503691;0.012425225395788659;0.49991118270609447;0.0027738136802851632;0.3569569503021217;0.0058041215772224545;0.5039720384034883;0.013475890334758704;0.4572760313164661;0.0030812123340152983;0.33251399388409403;0.006551851059055505;0.4572760313164661;0.0030812123340152983;5.025114119052887;0.33080811065944504
{'hidden': [64], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45937765354460763;0.0007674311071431036;0.9502433939019577;0.0028977924869712317;0.6193432002600736;0.0010130464960428627;0.6546037799567052;0.021012474123815367;0.07800771899444553;0.006765076314387615;0.13934669598838093;0.011177250823749745;0.5569907167506564;0.01088040841551767;0.5141255564482017;0.003183956120446261;0.37934494812422725;0.005808432076166692;0.5664020135991252;0.012015654719252023;0.47216539317833767;0.002641302723788118;0.35626020623569693;0.005872953835424707;0.47216539317833767;0.002641302723788118;3.618202328681946;0.818512983390155
{'hidden': [32, 32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45189890830525176;0.0017885856326863123;0.9429856217360492;0.004733574816511625;0.6109904040593707;0.0019474975708733899;0.5481703184611882;0.015459312973825478;0.05705844963242005;0.0050528334418990925;0.10330117078031865;0.008400496674456555;0.5000346133832201;0.008515044669484618;0.5000220356842346;0.0019460517393233923;0.35714578741984465;0.004516762709178271;0.5046599922552154;0.009128830868648227;0.45739224628154207;0.0026928085457798086;0.3327143591329928;0.005264278406314592;0.45739224628154207;0.0026928085457798086;4.767319679260254;0.18535859553687906
{'hidden': [32, 32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45882100732327913;0.0015315755290678738;0.9512797154806919;0.0032212222703792933;0.6190538992550138;0.0013150749309509319;0.6485700060880755;0.02933860916814403;0.07489573956092793;0.010537664037776822;0.13414990126159282;0.01749247499188493;0.5536955067056772;0.015396297066844334;0.5130877275208099;0.00460078939953744;0.3766019002583033;0.009259680648351526;0.5628516695991191;0.016899407858596636;0.47093146504351163;0.004311343608173647;0.35328568146905714;0.009613479274336579;0.47093146504351163;0.004311343608173647;6.485627055168152;0.40130381016395295
{'hidden': [32, 32], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4509028274027826;0.0019485625608001125;0.9470031177639546;0.004083384741085505;0.6109171503941961;0.001855621391937066;0.5280533341749662;0.0223347281785341;0.04921119418567797;0.006661726425150393;0.08995771988555872;0.011423050011416597;0.4894780807888745;0.01207233582675631;0.49810715597481625;0.002107648410652757;0.3504374351398774;0.006077191355608436;0.4931759803587983;0.013008780131394442;0.4549080332075248;0.0031512231395715005;0.3253682581891069;0.006897147970543749;0.4549080332075248;0.0031512231395715005;7.1704612374305725;0.42043541402617385
{'hidden': [32, 32], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4510610102685779;0.0018925638179928931;0.9434355683859759;0.005152799392015596;0.6103195321452299;0.002374532298514355;0.531744070370485;0.04318147327129302;0.05339505511996002;0.007746120046316742;0.09698063912737957;0.013438812368796288;0.49140254031953146;0.02246712284131913;0.4984153117529679;0.0043967399880940295;0.35365008563630485;0.007428243846555478;0.49530756449311103;0.024521383430618375;0.4555934015456933;0.004166464355692433;0.3289561759890417;0.007800760276975653;0.4555934015456933;0.004166464355692433;4.116605877876282;0.4729974162573654
{'hidden': [32, 32], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4504254857465195;0.001442434006102242;0.9421413039368407;0.00656534839219296;0.6094656046598772;0.0022781534210400424;0.5235564381132585;0.017290238966803338;0.05229497676107323;0.004492171839861999;0.09502309357510054;0.007445787385908522;0.486990961929889;0.009150782132946888;0.49721814034895695;0.002043990863084078;0.352244349117489;0.0034108616485390673;0.49051178307467763;0.00994619193212322;0.4544021330917938;0.002054621977984259;0.3274913846977071;0.003975570637128774;0.4544021330917938;0.002054621977984259;5.845975816249847;0.3974253697392197
{'hidden': [32, 32], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45202770064863246;0.001790323541657678;0.9446047280363933;0.0038782477022168012;0.6114504923893382;0.0021232356527838285;0.5505541401839575;0.02390052852267178;0.055934214895917184;0.0033224831429710185;0.10153538658607777;0.0057757799659662705;0.5012909204162951;0.012696773305692903;0.5002694714661553;0.002732931695174298;0.35649293948770805;0.0037605464578296575;0.5060314847004409;0.013770310917664997;0.45750914972187423;0.002950828379142212;0.3319567422925005;0.004221253062939494;0.45750914972187423;0.002950828379142212;5.573090672492981;0.19420631813727804
{'hidden': [64, 64], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4502066824175775;0.001016624105357177;0.9457057784955688;0.002565645567282916;0.6100127623337758;0.001192588756208657;0.5153280126733226;0.022816520210987675;0.047845309894774674;0.0052948245304717985;0.08752547991971707;0.009179649321643515;0.48276734754545014;0.011652132120735126;0.4967755441951717;0.002067424685378831;0.34876912112674646;0.004608145854043352;0.48591449844570456;0.012754910724087184;0.45358083332414617;0.0019866058975123676;0.3236367662442018;0.004756812584354384;0.45358083332414617;0.0019866058975123676;3.610305428504944;0.13601662291201683
{'hidden': [64, 64], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.44982149619034173;0.0010897888231300088;0.9465489604790787;0.0034528838800018547;0.6098311206882778;0.0006813681055851223;0.5063434082347583;0.017263169167546433;0.045509600574175406;0.0061613913858944705;0.08344905670911;0.010578687946230698;0.4780824522125501;0.008931072201845433;0.496029280526627;0.0013947827745017832;0.3466400886986939;0.005264771407600736;0.48080516328645756;0.009744728822750863;0.4526767341239818;0.0019427715923867207;0.321314748923654;0.0058221017764491356;0.4526767341239818;0.0019427715923867207;5.57780909538269;0.5401551349653991
{'hidden': [64, 64], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45740999130552773;0.0030446267119735595;0.9503077093645023;0.004286876645687541;0.6175578305171728;0.0028379734447487024;0.6259339318495736;0.05592518809472491;0.07050235986841097;0.01558701822822543;0.12647690439483916;0.026157044571091814;0.5416719615775507;0.02942833697275258;0.5104050346164566;0.007435526686273066;0.372017367456006;0.014328053859470846;0.5498300069233782;0.03208485872030911;0.46808725856461103;0.007361450545032191;0.3484097090885329;0.01502381895660088;0.46808725856461103;0.007361450545032191;3.7771570682525635;0.32799128132806055
{'hidden': [64, 64], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45264102275391677;0.002638933623020329;0.9449279771717852;0.005535323704094532;0.6120730748674673;0.002736093251022262;0.5596377943999625;0.02839000387730248;0.057925762037405334;0.0077409685945575134;0.10488472563690115;0.012958289193669604;0.5061394085769397;0.015424126717893383;0.5014268696045954;0.0035624616714673937;0.3584789002521843;0.007337174910762757;0.5112732164466256;0.01660652139768659;0.4587416367133847;0.004463714030239979;0.334066892870797;0.008290447853699909;0.4587416367133847;0.004463714030239979;5.598688840866089;0.5396690967924758
