Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
{'hidden': [32], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45091383859084094;0.002620386044221806;0.9441489101293079;0.005787568124771907;0.6103356788335574;0.003420640372952617;0.5280315899770541;0.056013216572684245;0.052108583015614066;0.008760576758587707;0.09479758064095502;0.015374794440276209;0.4894727142839475;0.02919638732237747;0.498128746572461;0.005759925661712174;0.3525666297372563;0.008840992048372064;0.4932171065682525;0.031795589677232276;0.4552154713928855;0.005496587371792522;0.3277722049146646;0.009120716487541772;0.4552154713928855;0.005496587371792522;4.1498876214027405;0.10730599579930583
{'hidden': [32], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4605311237181116;0.0018311508718345218;0.9515388845642883;0.003888205598020013;0.6206621596696691;0.0016225560175764854;0.6673891708654722;0.029298512972170405;0.08098070854631559;0.011654444958880862;0.14426446356703157;0.01910507208459816;0.5639601472917919;0.015499831819131974;0.5162597965553019;0.005093761513598232;0.38246331161835034;0.01016680622060903;0.5739388956511879;0.017004688324750928;0.47438438486388407;0.004867972930659776;0.35955710096714455;0.010606181782297877;0.47438438486388407;0.004867972930659776;6.377316534519196;0.4710176860186221
{'hidden': [32], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45870088992494107;0.0011971215110281848;0.949790612192347;0.002424597073369365;0.618632308478366;0.0014210592132250387;0.6463293938396325;0.02459253711862581;0.07593415655117361;0.006221186058066824;0.13586724658691612;0.010426093361169557;0.5525151418822869;0.012824747777041182;0.5128623843717603;0.003509525852014761;0.37724977753264105;0.005728465907787468;0.561561552945404;0.014081884839468838;0.4708223367417026;0.0030664548482823677;0.35402994821171685;0.005796274426322026;0.4708223367417026;0.0030664548482823677;5.618666589260101;0.41368616788399054
{'hidden': [32], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4582711791833023;0.0025844882948914123;0.9501154347035962;0.0030022653219654058;0.6183040035231786;0.0022524576618190083;0.6377880255248397;0.040569543051392466;0.07393458884688882;0.013735619546575028;0.13230203873976926;0.022946640142618997;0.5480296023540709;0.021516540248871698;0.5120250117752425;0.0060980881248198565;0.37530302113147396;0.012398089484426776;0.556696128357799;0.023452578522833143;0.4698819639791933;0.006151080853286166;0.35193746963252964;0.013011663988141122;0.4698819639791933;0.006151080853286166;5.87782621383667;0.6007177331465263
{'hidden': [32], 'lr': 0.0001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4508638422389546;0.0017334795965250637;0.9446719591189542;0.005770344468819417;0.6103999231662912;0.002718153932926474;0.5311061128293282;0.01897255299348659;0.051433440934387606;0.0017680040304522838;0.09375415030893343;0.0027353164898478474;0.4909849775341414;0.010197416390282883;0.4980527000266709;0.002197962663954426;0.35207703673761226;0.0008776067007838008;0.49484229049456185;0.01102189867504988;0.45507922884949237;0.002281844892163661;0.32722264155550457;0.0009935199027993836;0.45507922884949237;0.002281844892163661;3.5850173234939575;0.11606165608673238
{'hidden': [32], 'lr': 0.0001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.4588346072862828;0.0036421739474542217;0.9501775030984476;0.0023920042268111967;0.6188253226972514;0.003139871079037074;0.6427103818854603;0.04683200948112995;0.0759212049825207;0.016476307728942992;0.1355215051399844;0.02714858222599301;0.5507724945858714;0.025113039064418242;0.5130493540404841;0.007829251793072686;0.3771734139186178;0.01511071927350852;0.5596526605106906;0.027309524358478523;0.4709951405604413;0.008101621694929452;0.3539347163301249;0.015976690909353563;0.4709951405604413;0.008101621694929452;3.735422909259796;0.3452564097789562
{'hidden': [64], 'lr': 0.01, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.45916754259017023;0.0003925410327024381;0.9499827667874228;0.0038372110376801976;0.6190950944228415;0.0005194159132193665;0.6526215074940727;0.010806562268001571;0.0774899383949063;0.005881926239042721;0.13846159272162284;0.009424844571982168;0.5558945250421214;0.005308331054282215;0.5137363525911645;0.001687187308975974;0.37877834357223217;0.004485151714917405;0.5652123598344962;0.00600982877914081;0.47176045894120067;0.0013616156527286754;0.35565831709637274;0.004724388043687278;0.47176045894120067;0.0013616156527286754;3.675368309020996;0.2226517969619945
{'hidden': [64], 'lr': 0.01, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.45256317038104993;0.0018512584460998623;0.943763514108491;0.0060681296011831235;0.6117617330154992;0.002575168463504196;0.5599081358693273;0.025443576851303596;0.058820520627886286;0.003952265918231421;0.10640935508184099;0.006608554018165082;0.5062356531251886;0.013501588025243497;0.5012920173681887;0.0028308298578341557;0.3590855440486701;0.003733258272065907;0.5114000064155872;0.014641968952446056;0.45871089475505067;0.0029462434308919812;0.3347686688414261;0.004267727234453294;0.45871089475505067;0.0029462434308919812;3.7275701761245728;0.08239307491137238
{'hidden': [64], 'lr': 0.001, 'patience': 50}_kernel:rbf_gamma:scale_nu:0.05;0.4572784055633773;0.001651289584032175;0.9516681825882203;0.0022363786414285364;0.6177313811793939;0.001498960331482865;0.6303780019815965;0.031756600762328197;0.06875435017876817;0.00983054793564832;0.12388351510823176;0.016569039057097786;0.543828203772487;0.01665858018803243;0.5102112663834942;0.004630006227300534;0.37080744814381283;0.008927543211322804;0.552183928654411;0.018258464080182057;0.46773957255483345;0.004358073526689574;0.34705956366904983;0.009247342921458783;0.46773957255483345;0.004358073526689574;3.7940388321876526;0.1793152861279457
{'hidden': [64], 'lr': 0.001, 'patience': 100}_kernel:rbf_gamma:scale_nu:0.05;0.46126009163981385;0.002538676408065979;0.9495300849432204;0.0024111917613902356;0.6208939429631644;0.0021053495642556655;0.6697144792496666;0.03250229719130095;0.08557823055017891;0.013254290306427436;0.1515757594356257;0.021536330540026315;0.5654872854447403;0.017423826890594726;0.5175541577466998;0.006146490530344278;0.386234851199395;0.01179447267104246;0.5755448536214677;0.01904146036018126;0.4759965180513065;0.006095234937035084;0.3636695571446082;0.012354650327411879;0.4759965180513065;0.006095234937035084;5.693745791912079;0.06274368694229057
